"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 29, 2019","65.30","65.30","65.30","65.30","0.03K","-0.46%"
"Aug 28, 2019","65.60","65.60","65.60","65.60","0.03K","0.31%"
"Aug 27, 2019","65.40","65.40","65.40","65.40","0.02K","-0.53%"
"Aug 26, 2019","65.75","65.75","65.75","65.75","0.00K","0.00%"
"Aug 23, 2019","65.75","65.75","65.75","65.75","0.00K","0.61%"
"Aug 22, 2019","65.35","65.35","65.35","65.35","0.00K","-0.15%"
"Aug 21, 2019","65.45","65.45","65.45","65.45","0.07K","-0.76%"
"Aug 20, 2019","65.95","65.95","65.95","65.95","0.03K","-0.60%"
"Aug 19, 2019","66.35","66.35","66.35","66.35","0.01K","0.08%"
"Aug 16, 2019","66.30","66.30","66.30","66.30","0.01K","-0.08%"
"Aug 15, 2019","66.35","66.35","66.35","66.35","0.05K","-0.75%"
"Aug 14, 2019","66.85","66.85","66.85","66.85","0.02K","-0.45%"
"Aug 13, 2019","67.15","67.15","67.15","67.15","0.02K","-0.22%"
"Aug 12, 2019","67.30","67.30","67.30","67.30","0.03K","-0.81%"
"Aug 09, 2019","67.85","67.85","67.85","67.85","0.01K","0.07%"
"Aug 08, 2019","67.80","67.80","67.80","67.80","0.00K","0.07%"
"Aug 07, 2019","67.75","67.50","67.50","67.50","0.01K","-0.44%"
"Aug 06, 2019","68.05","68.10","68.35","67.90","0.03K","-1.23%"
"Aug 05, 2019","68.90","68.90","68.90","68.90","0.03K","-0.36%"
"Aug 02, 2019","69.15","69.15","69.15","69.15","0.05K","-0.43%"
"Aug 01, 2019","69.45","68.90","68.90","68.90","0.03K","0.00%"
"Jul 31, 2019","69.45","69.30","69.30","69.30","0.11K","-0.29%"
"Jul 30, 2019","69.65","71.30","71.30","69.45","0.06K","-2.72%"
"Jul 29, 2019","71.60","72.25","72.25","71.50","0.04K","-3.57%"
"Jul 26, 2019","74.25","74.25","74.25","74.25","0.00K","-0.20%"
"Jul 25, 2019","74.40","74.40","74.40","74.40","0.01K","0.27%"
"Jul 24, 2019","74.20","74.20","74.20","74.20","0.02K","0.47%"
"Jul 23, 2019","73.85","74.00","74.00","74.00","0.09K","-0.87%"
"Jul 22, 2019","74.50","74.85","74.85","74.85","0.00K","0.54%"
"Jul 19, 2019","74.10","74.10","74.10","74.10","0.11K","0.34%"
"Jul 18, 2019","73.85","73.85","73.85","73.85","0.03K","-0.61%"
"Jul 17, 2019","74.30","74.30","74.30","74.30","0.01K","1.36%"
"Jul 16, 2019","73.30","73.30","73.30","73.30","0.00K","-1.41%"
"Jul 15, 2019","74.35","74.35","74.35","74.35","0.02K","-0.34%"
"Jul 12, 2019","74.60","75.00","75.00","75.00","0.04K","-0.60%"
"Jul 11, 2019","75.05","75.05","75.05","75.05","0.09K","-0.53%"
"Jul 10, 2019","75.45","75.45","75.45","75.45","0.09K","0.73%"
"Jul 09, 2019","74.90","74.90","74.90","74.90","0.04K","-0.40%"
"Jul 08, 2019","75.20","75.20","75.20","75.20","0.04K","-1.31%"
"Jul 05, 2019","76.20","76.20","76.20","76.20","0.14K","-1.04%"
"Jul 04, 2019","77.00","77.00","77.00","77.00","0.05K","5.84%"
"Jul 03, 2019","72.75","72.75","72.75","72.75","0.03K","3.93%"
"Jul 02, 2019","70.00","70.00","70.00","70.00","0.07K","2.94%"
"Jul 01, 2019","68.00","68.00","68.00","68.00","0.02K","-4.09%"
"Jun 28, 2019","70.90","70.90","70.90","70.90","0.03K","-0.14%"
"Jun 27, 2019","71.00","71.00","71.00","71.00","0.03K","0.14%"
"Jun 26, 2019","70.90","70.90","70.90","70.90","0.01K","-0.07%"
"Jun 25, 2019","70.95","70.95","70.95","70.95","0.02K","0.50%"
"Jun 24, 2019","70.60","70.60","70.60","70.60","0.01K","-0.98%"
"Jun 21, 2019","71.30","71.30","71.30","71.30","0.02K","1.13%"
"Jun 20, 2019","70.50","70.50","70.50","70.50","0.01K","-0.14%"
"Jun 19, 2019","70.60","70.60","70.60","70.60","0.05K","-0.28%"
"Jun 18, 2019","70.80","70.80","70.80","70.80","0.02K","-0.49%"
"Jun 17, 2019","71.15","71.15","71.15","71.15","0.03K","-0.35%"
"Jun 14, 2019","71.40","71.40","71.40","71.40","0.02K","-0.63%"
"Jun 13, 2019","71.85","71.85","71.85","71.85","0.03K","-0.14%"
"Jun 12, 2019","71.95","72.00","72.00","71.90","0.02K","-2.97%"
"Jun 11, 2019","74.15","74.15","74.15","74.15","0.05K","0.88%"
"Jun 10, 2019","73.50","72.80","72.80","72.80","0.02K","0.96%"
"Jun 07, 2019","72.80","73.20","73.20","73.20","0.03K","-0.27%"
"Jun 06, 2019","73.00","72.50","73.25","72.50","0.04K","0.21%"
"Jun 05, 2019","72.85","73.25","73.25","73.20","0.00K","-0.68%"
"Jun 04, 2019","73.35","73.35","73.35","73.35","0.05K","0.14%"
"Jun 03, 2019","73.25","75.30","75.30","73.00","0.11K","-12.17%"
"May 31, 2019","83.40","83.40","83.40","83.40","0.02K","0.00%"
"May 30, 2019","83.40","83.40","83.40","83.40","-","-0.06%"
"May 29, 2019","83.45","83.45","83.45","83.45","0.02K","0.18%"
"May 28, 2019","83.30","83.30","83.30","83.30","0.00K","-0.42%"
"May 27, 2019","83.65","83.65","83.65","83.65","-","0.00%"
"May 24, 2019","83.65","83.65","83.65","83.65","0.02K","-0.12%"
"May 23, 2019","83.75","83.75","83.75","83.75","0.02K","-0.30%"
"May 22, 2019","84.00","84.00","84.00","84.00","0.02K","0.18%"
"May 21, 2019","83.85","83.85","83.85","83.85","0.00K","0.00%"
"May 20, 2019","83.85","83.85","83.85","83.85","0.03K","-0.30%"
"May 17, 2019","84.10","84.10","84.10","84.10","0.03K","-0.06%"
"May 16, 2019","84.15","84.15","84.15","84.15","0.01K","-0.36%"
"May 15, 2019","84.45","84.45","84.45","84.45","0.05K","-0.41%"
"May 14, 2019","84.80","85.00","85.00","84.65","0.01K","-0.88%"
"May 13, 2019","85.55","85.50","85.60","85.50","0.01K","-0.70%"
"May 10, 2019","86.15","86.10","86.10","86.10","0.01K","-0.12%"
"May 09, 2019","86.25","86.75","86.75","86.45","0.03K","-1.09%"
"May 08, 2019","87.20","86.75","87.00","86.75","0.01K","0.23%"
"May 07, 2019","87.00","86.75","86.75","86.50","0.00K","0.06%"
"May 06, 2019","86.95","86.95","86.95","86.95","-","-0.74%"
"May 03, 2019","87.60","87.30","87.30","87.30","0.05K","0.46%"
"May 02, 2019","87.20","86.50","87.25","86.50","0.02K","0.00%"
"May 01, 2019","87.20","87.00","87.00","87.00","0.03K","-0.11%"
"Apr 30, 2019","87.30","86.50","87.10","86.50","0.04K","0.46%"
"Apr 29, 2019","86.90","86.75","86.75","86.50","0.01K","2.00%"
"Apr 26, 2019","85.20","85.20","85.20","85.20","0.00K","-0.29%"
"Apr 25, 2019","85.45","85.45","85.45","85.45","0.01K","0.95%"
"Apr 24, 2019","84.65","84.65","84.65","84.65","0.04K","0.06%"
"Apr 23, 2019","84.60","84.60","84.60","84.60","0.01K","0.18%"
"Apr 22, 2019","84.45","84.45","84.45","84.45","-","0.00%"
"Apr 18, 2019","84.45","84.45","84.45","84.45","0.01K","-0.18%"
"Apr 17, 2019","84.60","84.60","84.60","84.60","0.01K","0.59%"
"Apr 16, 2019","84.10","84.10","84.10","84.10","0.00K","-0.30%"
"Apr 15, 2019","84.35","84.35","84.35","84.35","0.00K","0.18%"
"Apr 12, 2019","84.20","84.20","84.20","84.20","0.02K","0.06%"
"Apr 11, 2019","84.15","82.00","82.00","82.00","0.03K","2.37%"
"Apr 10, 2019","82.20","81.50","82.00","81.50","0.00K","1.23%"
"Apr 09, 2019","81.20","81.20","81.20","81.20","0.01K","1.00%"
"Apr 08, 2019","80.40","80.40","80.40","80.40","0.08K","1.97%"
"Apr 05, 2019","78.85","78.85","78.85","78.85","0.05K","1.48%"
"Apr 04, 2019","77.70","77.70","77.70","77.70","0.07K","-1.65%"
"Apr 03, 2019","79.00","79.00","79.00","79.00","0.05K","-2.59%"
"Apr 02, 2019","81.10","81.10","81.10","81.10","0.15K","-1.70%"
"Apr 01, 2019","82.50","82.50","82.50","82.50","0.18K","-11.05%"
"Mar 29, 2019","92.75","92.75","92.75","92.75","0.03K","-0.22%"
"Mar 28, 2019","92.95","92.95","92.95","92.95","0.01K","-0.59%"
"Mar 27, 2019","93.50","93.50","93.50","93.50","0.04K","0.32%"
"Mar 26, 2019","93.20","93.20","93.20","93.20","0.02K","-0.37%"
"Mar 25, 2019","93.55","93.55","93.55","93.55","0.02K","0.27%"
"Mar 22, 2019","93.30","93.30","93.30","93.30","0.03K","-0.21%"
"Mar 21, 2019","93.50","93.50","93.50","93.50","0.01K","-0.05%"
"Mar 20, 2019","93.55","93.55","93.55","93.55","0.04K","0.11%"
"Mar 19, 2019","93.45","93.45","93.45","93.45","0.01K","-0.37%"
"Mar 18, 2019","93.80","93.80","93.80","93.80","0.03K","-0.05%"
"Mar 15, 2019","93.85","93.85","93.85","93.85","0.02K","-0.79%"
"Mar 14, 2019","94.60","94.60","94.60","94.60","0.01K","0.11%"
"Mar 13, 2019","94.50","94.50","94.50","94.50","0.04K","-0.58%"
"Mar 12, 2019","95.05","95.05","95.05","95.05","0.08K","0.53%"
"Mar 11, 2019","94.55","94.55","94.55","94.55","0.01K","-1.05%"
"Mar 08, 2019","95.55","97.00","97.00","95.60","0.10K","-2.10%"
"Mar 07, 2019","97.60","97.25","97.25","97.25","0.09K","0.15%"
"Mar 06, 2019","97.45","98.00","98.00","97.50","0.13K","-0.61%"
"Mar 05, 2019","98.05","97.95","97.95","97.70","0.07K","-0.10%"
"Mar 04, 2019","98.15","97.60","98.00","97.60","0.06K","1.19%"
"Mar 01, 2019","97.00","97.00","97.00","97.00","0.03K","0.99%"
"Feb 28, 2019","96.05","96.05","96.05","96.05","0.09K","1.21%"
"Feb 27, 2019","94.90","94.90","94.90","94.90","0.09K","0.11%"
"Feb 26, 2019","94.80","94.80","94.80","94.80","0.12K","1.17%"
"Feb 25, 2019","93.70","93.50","93.50","93.50","0.14K","-1.42%"
"Feb 22, 2019","95.05","95.05","95.05","95.05","0.00K","-0.16%"
"Feb 21, 2019","95.20","95.20","95.20","95.20","-","0.00%"
"Feb 20, 2019","95.20","95.20","95.20","95.20","0.00K","0.00%"
"Feb 19, 2019","95.20","95.20","95.20","95.20","0.01K","0.21%"
"Feb 18, 2019","95.00","95.00","95.00","95.00","0.04K","0.16%"
"Feb 15, 2019","94.85","94.85","94.85","94.85","-","-0.11%"
"Feb 14, 2019","94.95","94.95","94.95","94.95","0.01K","-0.78%"
"Feb 13, 2019","95.70","95.70","95.70","95.70","0.01K","0.05%"
"Feb 12, 2019","95.65","95.50","95.50","95.50","0.01K","-1.09%"
"Feb 11, 2019","96.70","96.70","96.70","96.70","0.00K","-0.51%"
"Feb 08, 2019","97.20","97.20","97.20","97.20","0.01K","-0.61%"
"Feb 07, 2019","97.80","97.80","97.80","97.80","0.08K","-0.51%"
"Feb 06, 2019","98.30","98.25","98.25","98.25","0.11K","0.00%"
"Feb 05, 2019","98.30","98.60","98.60","98.60","0.05K","0.10%"
"Feb 04, 2019","98.20","98.00","98.00","97.70","0.13K","-0.15%"
"Feb 01, 2019","98.35","98.50","98.50","98.50","0.02K","-0.66%"
"Jan 31, 2019","99.00","99.00","99.00","99.00","0.10K","-0.30%"
"Jan 30, 2019","99.30","99.30","99.30","99.30","0.08K","0.10%"
"Jan 29, 2019","99.20","99.00","99.10","98.70","0.06K","-0.25%"
"Jan 28, 2019","99.45","99.45","99.45","99.45","0.07K","0.71%"
"Jan 25, 2019","98.75","98.75","98.75","98.75","-","-0.25%"
"Jan 24, 2019","99.00","99.00","99.00","99.00","0.01K","-0.20%"
"Jan 23, 2019","99.20","99.20","99.20","99.20","-","0.00%"
"Jan 22, 2019","99.20","99.20","99.20","99.20","0.01K","-0.15%"
"Jan 21, 2019","99.35","99.35","99.35","99.35","-","-0.40%"
"Jan 18, 2019","99.75","99.75","99.75","99.75","0.01K","-0.55%"
"Jan 17, 2019","100.30","100.30","100.30","100.30","0.08K","0.60%"
"Jan 16, 2019","99.70","99.70","99.70","99.70","0.01K","1.01%"
"Jan 15, 2019","98.70","98.70","98.70","98.70","0.09K","1.39%"
"Jan 14, 2019","97.35","97.35","97.35","97.35","0.02K","-0.71%"
"Jan 11, 2019","98.05","98.05","98.05","98.05","0.04K","0.20%"
"Jan 10, 2019","97.85","97.85","97.85","97.85","-","-0.25%"
"Jan 09, 2019","98.10","98.10","98.10","98.10","0.04K","0.31%"
"Jan 08, 2019","97.80","97.80","97.80","97.80","0.11K","-1.26%"
"Jan 07, 2019","99.05","99.05","99.05","99.05","0.17K","-0.45%"
"Jan 04, 2019","99.50","99.50","99.50","99.50","0.08K","-0.10%"
"Jan 03, 2019","99.60","99.60","99.60","99.60","0.10K","-1.48%"
"Jan 02, 2019","101.10","101.10","101.10","101.10","0.07K","-0.93%"
"Dec 31, 2018","102.05","102.05","102.05","102.05","0.00K","0.15%"
"Dec 28, 2018","101.90","101.90","101.90","101.90","-","0.34%"
"Dec 27, 2018","101.55","101.55","101.55","101.55","-","0.54%"
"Dec 26, 2018","101.00","101.00","101.00","101.00","-","0.00%"
"Dec 24, 2018","101.00","101.00","101.00","101.00","0.01K","-0.69%"
"Dec 21, 2018","101.70","101.70","101.70","101.70","0.02K","0.05%"
"Dec 20, 2018","101.65","101.65","101.65","101.65","0.00K","0.05%"
"Dec 19, 2018","101.60","101.60","101.60","101.60","0.00K","0.10%"
"Dec 18, 2018","101.50","101.50","101.50","101.50","-","-0.34%"
"Dec 17, 2018","101.85","102.00","102.00","101.60","0.01K","-0.44%"
"Dec 14, 2018","102.30","102.30","102.30","102.30","0.00K","0.15%"
"Dec 13, 2018","102.15","102.20","102.20","102.20","0.00K","0.49%"
"Dec 12, 2018","101.65","101.65","101.65","101.65","0.01K","-0.49%"
"Dec 11, 2018","102.15","102.15","102.15","102.15","0.08K","-0.49%"
"Dec 10, 2018","102.65","102.65","102.65","102.65","0.00K","0.10%"
"Dec 07, 2018","102.55","102.55","102.55","102.55","0.01K","0.00%"
"Dec 06, 2018","102.55","102.55","102.55","102.55","0.01K","-0.10%"
"Dec 05, 2018","102.65","102.65","102.65","102.65","0.01K","-0.19%"
"Dec 04, 2018","102.85","102.85","102.85","102.85","0.01K","0.39%"
"Dec 03, 2018","102.45","102.45","102.45","102.45","0.01K","0.74%"
"Nov 30, 2018","101.70","101.70","101.70","101.70","0.01K","0.15%"
"Nov 29, 2018","101.55","101.55","101.55","101.55","0.00K","0.00%"
"Nov 28, 2018","101.55","101.55","101.55","101.55","0.02K","0.00%"
"Nov 27, 2018","101.55","101.55","101.55","101.55","0.00K","0.15%"
"Nov 26, 2018","101.40","101.40","101.40","101.40","0.01K","-0.34%"
"Nov 23, 2018","101.75","101.75","101.75","101.75","0.01K","-0.63%"
"Nov 22, 2018","102.40","102.40","102.40","102.40","0.01K","-0.05%"
"Nov 21, 2018","102.45","102.45","102.45","102.45","0.00K","0.15%"
"Nov 20, 2018","102.30","102.30","102.30","102.30","0.02K","-0.63%"
"Nov 19, 2018","102.95","102.95","102.95","102.95","0.01K","0.44%"
"Nov 16, 2018","102.50","102.50","102.50","102.50","0.02K","-1.58%"
"Nov 15, 2018","104.15","104.15","104.15","104.15","0.03K","0.77%"
"Nov 14, 2018","103.35","103.35","103.35","103.35","0.00K","-2.04%"
"Nov 13, 2018","105.50","105.50","105.50","105.50","-","-0.33%"
"Nov 12, 2018","105.85","105.85","105.85","105.85","0.00K","-0.05%"
"Nov 09, 2018","105.90","105.50","105.50","105.50","0.06K","0.52%"
"Nov 08, 2018","105.35","105.25","105.75","105.25","0.02K","-0.09%"
"Nov 07, 2018","105.45","105.45","105.45","105.45","0.02K","1.88%"
"Nov 06, 2018","103.50","103.50","103.50","103.50","0.02K","-0.38%"
"Nov 05, 2018","103.90","103.90","103.90","103.90","0.01K","0.48%"
"Nov 02, 2018","103.40","103.75","103.75","103.75","0.03K","0.53%"
"Nov 01, 2018","102.85","104.00","104.00","103.50","0.04K","-2.23%"
"Oct 31, 2018","105.20","105.20","105.20","105.20","0.11K","-2.14%"
"Oct 30, 2018","107.50","107.50","107.50","107.50","0.18K","-0.46%"
"Oct 29, 2018","108.00","108.00","108.00","108.00","0.09K","-1.50%"
"Oct 26, 2018","109.65","109.65","109.65","109.65","0.01K","-0.09%"
"Oct 25, 2018","109.75","109.75","109.75","109.75","0.01K","0.00%"
"Oct 24, 2018","109.75","109.75","109.75","109.75","-","0.23%"
"Oct 23, 2018","109.50","109.50","109.50","109.50","0.01K","-0.54%"
"Oct 22, 2018","110.10","110.10","110.10","110.10","0.01K","0.09%"
"Oct 19, 2018","110.00","110.00","110.00","110.00","0.00K","0.23%"
"Oct 18, 2018","109.75","109.75","109.75","109.75","0.02K","0.55%"
"Oct 17, 2018","109.15","109.15","109.15","109.15","0.01K","0.05%"
"Oct 16, 2018","109.10","109.10","109.10","109.10","0.01K","-0.14%"
"Oct 15, 2018","109.25","109.25","109.25","109.25","-","0.05%"
"Oct 12, 2018","109.20","109.20","109.20","109.20","0.02K","0.46%"
"Oct 11, 2018","108.70","108.70","108.70","108.70","0.04K","-1.05%"
"Oct 10, 2018","109.85","109.85","109.85","109.85","0.02K","-0.99%"
"Oct 09, 2018","110.95","110.95","110.95","110.95","0.03K","-1.60%"
"Oct 08, 2018","112.75","112.75","112.75","112.75","0.02K","-0.79%"
"Oct 05, 2018","113.65","113.65","113.65","113.65","0.01K","-0.09%"
"Oct 04, 2018","113.75","113.75","113.75","113.75","0.03K","-0.13%"
"Oct 03, 2018","113.90","113.90","113.90","113.90","0.09K","-0.13%"
"Oct 02, 2018","114.05","114.05","114.05","114.05","0.06K","-0.48%"
"Oct 01, 2018","114.60","114.00","114.00","114.00","0.01K","0.66%"
"Sep 28, 2018","113.85","113.85","113.85","113.85","0.01K","0.13%"
"Sep 27, 2018","113.70","113.70","113.70","113.70","0.01K","0.00%"
"Sep 26, 2018","113.70","113.70","113.70","113.70","0.01K","0.00%"
"Sep 25, 2018","113.70","113.70","113.70","113.70","0.02K","-0.04%"
"Sep 24, 2018","113.75","113.75","113.75","113.75","0.01K","0.26%"
"Sep 21, 2018","113.45","113.45","113.45","113.45","-","0.27%"
"Sep 20, 2018","113.15","113.15","113.15","113.15","0.00K","-1.18%"
"Sep 19, 2018","114.50","114.50","114.50","114.50","0.01K","0.31%"
"Sep 18, 2018","114.15","114.15","114.15","114.15","0.02K","-0.39%"
"Sep 17, 2018","114.60","114.60","114.60","114.60","0.00K","-0.69%"
"Sep 14, 2018","115.40","115.40","115.40","115.40","0.03K","0.09%"
"Sep 13, 2018","115.30","115.30","115.30","115.30","0.02K","0.22%"
"Sep 12, 2018","115.05","115.05","115.05","115.05","0.01K","-0.52%"
"Sep 11, 2018","115.65","115.65","115.65","115.65","0.02K","0.30%"
"Sep 10, 2018","115.30","115.00","115.25","115.00","0.06K","0.65%"
"Sep 07, 2018","114.55","114.75","114.75","114.75","0.01K","-0.22%"
"Sep 06, 2018","114.80","114.80","114.80","114.80","0.01K","0.00%"
"Sep 05, 2018","114.80","114.90","115.00","114.90","0.06K","-0.48%"
"Sep 04, 2018","115.35","115.35","115.35","115.35","0.12K","-0.77%"
"Sep 03, 2018","116.25","116.25","116.25","116.25","0.03K","-1.48%"
"Aug 31, 2018","118.00","118.00","118.00","118.00","0.03K","0.43%"
"Aug 30, 2018","117.50","117.50","117.50","117.50","0.08K","-0.13%"
"Aug 29, 2018","117.65","117.65","117.65","117.65","0.02K","0.13%"
"Aug 28, 2018","117.50","117.50","117.50","117.50","0.01K","-1.18%"
"Aug 27, 2018","118.90","118.90","118.90","118.90","-","0.85%"
"Aug 24, 2018","117.90","117.90","117.90","117.90","0.03K","0.64%"
"Aug 23, 2018","117.15","117.15","117.15","117.15","0.01K","-0.30%"
"Aug 22, 2018","117.50","117.50","117.50","117.50","0.00K","-0.04%"
"Aug 21, 2018","117.55","117.55","117.55","117.55","0.01K","-0.08%"
"Aug 20, 2018","117.65","117.65","117.65","117.65","0.01K","-0.30%"
"Aug 17, 2018","118.00","118.00","118.00","118.00","0.01K","-0.08%"
"Aug 16, 2018","118.10","118.10","118.10","118.10","0.03K","-0.04%"
"Aug 15, 2018","118.15","118.15","118.15","118.15","0.00K","-0.21%"
"Aug 14, 2018","118.40","118.40","118.40","118.40","0.05K","0.77%"
"Aug 13, 2018","117.50","117.50","117.50","117.50","-","0.73%"
"Aug 10, 2018","116.65","116.65","116.65","116.65","0.01K","0.30%"
"Aug 09, 2018","116.30","116.30","116.30","116.30","0.10K","0.35%"
"Aug 08, 2018","115.90","116.00","116.00","116.00","0.08K","-0.09%"
"Aug 07, 2018","116.00","116.00","116.00","116.00","0.01K","-0.68%"
"Aug 06, 2018","116.80","116.50","116.50","116.50","0.03K","-0.55%"
"Aug 03, 2018","117.45","117.50","117.50","117.50","0.00K","0.09%"
