"Date","Price","Open","High","Low","Change %"
"Jan 10, 2016","4.0479","4.0245","4.0677","3.9707","0.58%"
"Jan 03, 2016","4.0245","3.9608","4.0749","3.9590","1.61%"
"Dec 27, 2015","3.9608","3.9463","4.0200","3.8402","0.37%"
"Dec 20, 2015","3.9463","3.9823","4.0424","3.9336","-0.91%"
"Dec 13, 2015","3.9824","3.8730","3.9858","3.8504","2.82%"
"Dec 06, 2015","3.8730","3.7540","3.8908","3.7165","3.22%"
"Nov 29, 2015","3.7521","3.8461","3.9243","3.7243","-2.45%"
"Nov 22, 2015","3.8464","3.7053","3.8491","3.6937","3.81%"
"Nov 15, 2015","3.7052","3.8453","3.8621","3.7046","-3.65%"
"Nov 08, 2015","3.8456","3.7713","3.8515","3.7058","1.97%"
"Nov 01, 2015","3.7713","3.8562","3.8743","3.7425","-2.21%"
"Oct 25, 2015","3.8564","3.8792","3.9567","3.8241","-0.63%"
"Oct 18, 2015","3.8807","3.9239","3.9675","3.8466","-1.12%"
"Oct 11, 2015","3.9245","3.7630","3.9543","3.7553","4.21%"
"Oct 04, 2015","3.7660","3.9329","3.9516","3.7233","-4.25%"
"Sep 27, 2015","3.9331","3.9761","4.1548","3.9234","-1.12%"
"Sep 20, 2015","3.9777","3.9433","4.2491","3.8823","0.81%"
"Sep 13, 2015","3.9459","3.8733","3.9630","3.8060","1.95%"
"Sep 06, 2015","3.8705","3.8424","3.9166","3.7643","0.68%"
"Aug 30, 2015","3.8443","3.5812","3.8617","3.5808","7.31%"
"Aug 23, 2015","3.5823","3.4998","3.6571","3.4992","2.33%"
"Aug 16, 2015","3.5007","3.4878","3.5235","3.4488","0.46%"
"Aug 09, 2015","3.4845","3.5073","3.5294","3.4349","-0.64%"
"Aug 02, 2015","3.5071","3.4226","3.5711","3.4209","2.51%"
"Jul 26, 2015","3.4213","3.3542","3.4354","3.3129","1.96%"
"Jul 19, 2015","3.3556","3.1886","3.3580","3.1639","5.25%"
"Jul 12, 2015","3.1881","3.1593","3.2039","3.1132","0.91%"
"Jul 05, 2015","3.1593","3.1341","3.2438","3.1303","0.78%"
"Jun 28, 2015","3.1347","3.1300","3.1591","3.0861","0.17%"
"Jun 21, 2015","3.1295","3.0958","3.1433","3.0623","1.03%"
"Jun 14, 2015","3.0976","3.1189","3.1418","3.0305","-0.67%"
"Jun 07, 2015","3.1185","3.1433","3.1727","3.0625","-0.81%"
"May 31, 2015","3.1439","3.1785","3.2144","3.1021","-1.13%"
"May 24, 2015","3.1798","3.0957","3.1973","3.0891","2.74%"
"May 17, 2015","3.0949","2.9966","3.1007","2.9947","3.26%"
"May 10, 2015","2.9972","2.9760","3.0788","2.9714","0.80%"
"May 03, 2015","2.9733","3.0162","3.0966","2.9733","-1.37%"
"Apr 26, 2015","3.0146","2.9516","3.0215","2.8827","2.13%"
"Apr 19, 2015","2.9517","3.0529","3.0584","2.9501","-2.93%"
"Apr 12, 2015","3.0409","3.0745","3.1286","2.9988","-1.13%"
"Apr 05, 2015","3.0756","3.1211","3.1489","3.0232","-1.45%"
"Mar 29, 2015","3.1210","3.2493","3.2885","3.1178","-3.96%"
"Mar 22, 2015","3.2496","3.2287","3.2500","3.0924","0.63%"
"Mar 15, 2015","3.2293","3.2493","3.3176","3.1898","-0.61%"
"Mar 08, 2015","3.2492","3.0615","3.2813","3.0590","6.12%"
"Mar 01, 2015","3.0617","2.8392","3.0732","2.8392","7.84%"
"Feb 22, 2015","2.8390","2.8680","2.9214","2.8267","-1.01%"
"Feb 15, 2015","2.8680","2.8343","2.8863","2.8284","1.18%"
"Feb 08, 2015","2.8346","2.7828","2.8834","2.7652","1.87%"
"Feb 01, 2015","2.7825","2.6824","2.7852","2.6660","3.73%"
"Jan 25, 2015","2.6824","2.5795","2.6930","2.5655","3.98%"
"Jan 18, 2015","2.5798","2.6216","2.6650","2.5501","-1.57%"
"Jan 11, 2015","2.6210","2.6305","2.6827","2.5945","-0.35%"
"Jan 04, 2015","2.6301","2.6933","2.7306","2.6263","-2.38%"
"Dec 28, 2014","2.6941","2.6685","2.7133","2.6411","0.96%"
"Dec 21, 2014","2.6685","2.6603","2.7101","2.6445","0.33%"
"Dec 14, 2014","2.6598","2.6546","2.7605","2.6398","0.20%"
"Dec 07, 2014","2.6545","2.5896","2.6780","2.5844","2.51%"
"Nov 30, 2014","2.5895","2.5654","2.6098","2.5433","0.92%"
"Nov 23, 2014","2.5659","2.5160","2.5829","2.4954","2.01%"
"Nov 16, 2014","2.5153","2.6006","2.6190","2.5082","-3.32%"
"Nov 09, 2014","2.6018","2.5593","2.6301","2.5320","1.68%"
"Nov 02, 2014","2.5587","2.4787","2.5897","2.4539","3.24%"
"Oct 26, 2014","2.4783","2.4737","2.5595","2.3931","0.18%"
"Oct 19, 2014","2.4739","2.4359","2.5186","2.4359","1.57%"
"Oct 12, 2014","2.4356","2.4293","2.5065","2.3798","0.25%"
"Oct 05, 2014","2.4295","2.4581","2.4581","2.3563","-1.19%"
"Sep 28, 2014","2.4588","2.4207","2.5078","2.4207","1.60%"
"Sep 21, 2014","2.4200","2.3676","2.4436","2.3628","2.19%"
"Sep 14, 2014","2.3682","2.3393","2.3860","2.3159","1.24%"
"Sep 07, 2014","2.3392","2.2437","2.3468","2.2395","4.41%"
"Aug 31, 2014","2.2405","2.2361","2.2571","2.2250","0.20%"
"Aug 24, 2014","2.2360","2.2775","2.2910","2.2331","-1.84%"
"Aug 17, 2014","2.2778","2.2599","2.2847","2.2468","0.80%"
"Aug 10, 2014","2.2598","2.2824","2.2885","2.2565","-0.94%"
"Aug 03, 2014","2.2812","2.2603","2.3081","2.2479","1.05%"
"Jul 27, 2014","2.2574","2.2298","2.2849","2.2216","1.27%"
"Jul 20, 2014","2.2290","2.2250","2.2333","2.2065","0.16%"
"Jul 13, 2014","2.2255","2.2215","2.2612","2.2099","0.21%"
"Jul 06, 2014","2.2208","2.2134","2.2287","2.2075","0.34%"
"Jun 29, 2014","2.2132","2.1936","2.2452","2.1936","0.88%"
"Jun 22, 2014","2.1940","2.2298","2.2351","2.1869","-1.59%"
"Jun 15, 2014","2.2295","2.2238","2.2646","2.2230","0.24%"
"Jun 08, 2014","2.2241","2.2449","2.2460","2.2212","-1.04%"
"Jun 01, 2014","2.2475","2.2415","2.2921","2.2390","0.30%"
"May 25, 2014","2.2407","2.2220","2.2475","2.2157","0.77%"
"May 18, 2014","2.2235","2.2159","2.2266","2.2003","0.40%"
"May 11, 2014","2.2146","2.2180","2.2285","2.2010","0.08%"
"May 04, 2014","2.2128","2.2299","2.2493","2.1995","-0.32%"
"Apr 27, 2014","2.2200","2.2421","2.2583","2.2054","-1.09%"
"Apr 20, 2014","2.2445","2.2370","2.2507","2.2118","0.33%"
"Apr 13, 2014","2.2372","2.2172","2.2555","2.2056","0.85%"
"Apr 06, 2014","2.2184","2.2372","2.2496","2.1820","-0.79%"
"Mar 30, 2014","2.2361","2.2635","2.2889","2.2348","-1.14%"
"Mar 23, 2014","2.2618","2.3241","2.3348","2.2484","-2.70%"
"Mar 16, 2014","2.3246","2.3476","2.3604","2.3156","-0.93%"
"Mar 09, 2014","2.3465","2.3457","2.3766","2.3263","0.26%"
"Mar 02, 2014","2.3405","2.3384","2.3497","2.2992","0.09%"
"Feb 23, 2014","2.3384","2.3468","2.3571","2.3178","-0.30%"
"Feb 16, 2014","2.3455","2.3853","2.4125","2.3417","-1.82%"
"Feb 09, 2014","2.3891","2.3809","2.4339","2.3788","0.37%"
"Feb 02, 2014","2.3802","2.4127","2.4405","2.3695","-1.35%"
"Jan 26, 2014","2.4127","2.4005","2.4506","2.3900","0.60%"
"Jan 19, 2014","2.3982","2.3425","2.4328","2.3275","2.37%"
"Jan 12, 2014","2.3426","2.3607","2.3777","2.3382","-0.67%"
"Jan 05, 2014","2.3584","2.3811","2.4036","2.3548","-0.76%"
"Dec 29, 2013","2.3765","2.3386","2.4097","2.3260","1.63%"
"Dec 22, 2013","2.3384","2.3876","2.3876","2.3348","-2.06%"
"Dec 15, 2013","2.3876","2.3317","2.3893","2.3087","2.47%"
"Dec 08, 2013","2.3300","2.3312","2.3515","2.3045","0.14%"
"Dec 01, 2013","2.3268","2.3373","2.3969","2.3218","-0.39%"
"Nov 24, 2013","2.3358","2.2813","2.3437","2.2768","2.50%"
"Nov 17, 2013","2.2788","2.3194","2.3196","2.2502","-1.73%"
"Nov 10, 2013","2.3190","2.3133","2.3487","2.3022","0.21%"
"Nov 03, 2013","2.3142","2.2521","2.3447","2.2369","2.55%"
"Oct 27, 2013","2.2567","2.1888","2.2631","2.1738","3.15%"
"Oct 20, 2013","2.1877","2.1692","2.2096","2.1646","0.86%"
"Oct 13, 2013","2.1690","2.1789","2.1942","2.1465","-0.23%"
"Oct 06, 2013","2.1740","2.2076","2.2214","2.1685","-1.72%"
"Sep 29, 2013","2.2120","2.2567","2.2601","2.1906","-1.79%"
"Sep 22, 2013","2.2523","2.2105","2.2652","2.1878","1.90%"
"Sep 15, 2013","2.2102","2.2495","2.2858","2.1795","-3.07%"
"Sep 08, 2013","2.2803","2.2988","2.3080","2.2600","-1.14%"
"Sep 01, 2013","2.3066","2.3822","2.4036","2.2800","-3.34%"
"Aug 25, 2013","2.3862","2.3487","2.4183","2.3203","1.60%"
"Aug 18, 2013","2.3486","2.3926","2.4553","2.3460","-1.83%"
"Aug 11, 2013","2.3925","2.2685","2.3981","2.2628","5.32%"
"Aug 04, 2013","2.2717","2.2885","2.3161","2.2633","-0.70%"
"Jul 28, 2013","2.2876","2.2525","2.3138","2.2525","1.37%"
"Jul 21, 2013","2.2567","2.2462","2.2647","2.2104","0.45%"
"Jul 14, 2013","2.2467","2.2693","2.2725","2.2063","-0.91%"
"Jul 07, 2013","2.2673","2.2523","2.2805","2.2443","0.66%"
"Jun 30, 2013","2.2525","2.2295","2.2733","2.2170","0.91%"
"Jun 23, 2013","2.2321","2.2454","2.2648","2.1751","-0.44%"
"Jun 16, 2013","2.2420","2.1488","2.2774","2.1431","4.14%"
"Jun 09, 2013","2.1528","2.1380","2.1669","2.1179","0.97%"
"Jun 02, 2013","2.1321","2.1445","2.1542","2.0849","-0.48%"
"May 26, 2013","2.1423","2.0517","2.1507","2.0473","4.41%"
"May 19, 2013","2.0518","2.0358","2.0564","2.0266","0.81%"
"May 12, 2013","2.0353","2.0177","2.0417","2.0027","0.75%"
"May 05, 2013","2.0201","2.0105","2.0294","1.9943","0.55%"
"Apr 28, 2013","2.0091","1.9997","2.0157","1.9903","0.52%"
"Apr 21, 2013","1.9988","2.0102","2.0298","1.9953","-0.60%"
"Apr 14, 2013","2.0108","1.9696","2.0226","1.9696","2.10%"
"Apr 07, 2013","1.9695","1.9886","1.9939","1.9634","-0.83%"
"Mar 31, 2013","1.9860","2.0186","2.0289","1.9856","-1.89%"
"Mar 24, 2013","2.0242","2.0101","2.0276","2.0032","0.75%"
"Mar 17, 2013","2.0091","1.9858","2.0194","1.9754","1.38%"
"Mar 10, 2013","1.9817","1.9480","1.9848","1.9412","1.90%"
"Mar 03, 2013","1.9447","1.9830","1.9878","1.9427","-1.74%"
"Feb 24, 2013","1.9792","1.9743","1.9938","1.9632","0.33%"
"Feb 17, 2013","1.9727","1.9683","1.9792","1.9528","0.20%"
"Feb 10, 2013","1.9688","1.9689","1.9733","1.9498","-0.22%"
"Feb 03, 2013","1.9732","1.9878","1.9975","1.9510","-0.73%"
"Jan 27, 2013","1.9878","2.0303","2.0366","1.9787","-2.08%"
"Jan 20, 2013","2.0300","2.0405","2.0511","2.0275","-0.53%"
"Jan 13, 2013","2.0408","2.0292","2.0460","2.0292","0.37%"
"Jan 06, 2013","2.0332","2.0343","2.0461","2.0202","-0.07%"
"Dec 30, 2012","2.0347","2.0478","2.0505","2.0320","-0.63%"
"Dec 23, 2012","2.0475","2.0772","2.0772","2.0385","-1.48%"
"Dec 16, 2012","2.0783","2.0858","2.1025","2.0554","-0.35%"
"Dec 09, 2012","2.0856","2.0748","2.0895","2.0699","0.53%"
"Dec 02, 2012","2.0747","2.1357","2.1389","2.0713","-2.87%"
"Nov 25, 2012","2.1361","2.0823","2.1377","2.0716","2.62%"
"Nov 18, 2012","2.0816","2.0838","2.1172","2.0688","-0.12%"
"Nov 11, 2012","2.0842","2.0461","2.0873","2.0427","1.85%"
"Nov 04, 2012","2.0463","2.0311","2.0678","2.0303","0.72%"
